leon/empty: canvas=398x398, subject=290x305
leon/low: canvas=472x472, subject=226x362
leon/calm: canvas=488x488, subject=212x394
leon/happy: canvas=558x558, subject=284x449
leon/excited: canvas=592x592, subject=281x498
zaya/empty: canvas=406x406, subject=287x326
zaya/low: canvas=483x483, subject=230x370
zaya/calm: canvas=493x493, subject=230x403
zaya/happy: canvas=558x558, subject=300x444
zaya/excited: canvas=592x592, subject=277x499
battery-buddy/empty: canvas=222x222, subject=189x111
battery-buddy/low: canvas=198x198, subject=151x164
battery-buddy/calm: canvas=222x222, subject=115x188
battery-buddy/happy: canvas=227x227, subject=129x179
battery-buddy/excited: canvas=256x256, subject=150x214
elephant/empty: canvas=222x222, subject=183x83
elephant/low: canvas=203x203, subject=139x175
elephant/calm: canvas=210x210, subject=145x180
elephant/happy: canvas=222x222, subject=163x190
elephant/excited: canvas=232x232, subject=177x200
double-decker/empty: canvas=222x222, subject=178x130
double-decker/low: canvas=182x182, subject=130x145
double-decker/calm: canvas=188x188, subject=131x160
double-decker/happy: canvas=198x198, subject=167x160
double-decker/excited: canvas=215x215, subject=173x183
plane/empty: canvas=239x239, subject=183x93
plane/low: canvas=199x199, subject=149x82
plane/calm: canvas=222x222, subject=175x160
plane/happy: canvas=239x239, subject=205x164
plane/excited: canvas=238x238, subject=189x179
boat/empty: canvas=232x232, subject=191x145
boat/low: canvas=210x210, subject=169x165
boat/calm: canvas=215x215, subject=168x175
boat/happy: canvas=227x227, subject=175x180
boat/excited: canvas=256x256, subject=171x220
letter-a/empty: canvas=171x171, subject=126x115
letter-a/low: canvas=210x210, subject=117x180
letter-a/calm: canvas=239x239, subject=146x205
letter-a/happy: canvas=261x261, subject=162x225
letter-a/excited: canvas=280x280, subject=165x224
